Order ID,Customer ID,Warehouse ID,Customer Age,Customer Gender,Date,Product ID,SKU ID,Category,Quantity,Price per Unit
1,CUST966,WH004,65,Female,2023-03-04,Product_110,SKU_291,Health & Wellness,4,527.06
1,CUST966,WH004,65,Female,2023-03-04,Product_142,SKU_005,Health & Wellness,5,847.13
1,CUST966,WH004,65,Female,2023-03-04,Product_197,SKU_151,Electronics,2,214.6
1,CUST966,WH004,65,Female,2023-03-04,Product_195,SKU_945,Fashion & Apparel,1,513.5
1,CUST966,WH004,65,Female,2023-03-04,Product_110,SKU_333,Health & Wellness,5,436.15
1,CUST966,WH004,65,Female,2023-03-04,Product_095,SKU_409,Home Appliances,4,723.36
1,CUST966,WH004,65,Female,2023-03-04,Product_071,SKU_006,Beauty & Personal Care,5,32.04
1,CUST966,WH004,65,Female,2023-03-04,Product_120,SKU_645,Electronics,3,853.07
1,CUST966,WH004,65,Female,2023-03-04,Product_092,SKU_615,Fashion & Apparel,4,724.06
2,CUST952,WH003,31,Female,2023-04-04,Product_089,SKU_830,Sports & Outdoors,4,157.96
3,CUST987,WH001,25,Female,2023-02-07,Product_127,SKU_429,Books & Media,2,552.81
3,CUST987,WH001,25,Female,2023-02-07,Product_056,SKU_310,Electronics,1,634.28
3,CUST987,WH001,25,Female,2023-02-07,Product_141,SKU_545,Books & Media,5,343.87
3,CUST987,WH001,25,Female,2023-02-07,Product_002,SKU_143,Home Appliances,5,63.03
3,CUST987,WH001,25,Female,2023-02-07,Product_078,SKU_117,Automotive,3,940.64
5,CUST415,WH002,59,Male,2023-11-11,Product_016,SKU_889,Home Appliances,5,902.55
5,CUST415,WH002,59,Male,2023-11-11,Product_153,SKU_688,Toys & Games,1,224.87
5,CUST415,WH002,59,Male,2023-11-11,Product_164,SKU_865,Electronics,1,759.72
5,CUST415,WH002,59,Male,2023-11-11,Product_106,SKU_054,Books & Media,3,955.93
5,CUST415,WH002,59,Male,2023-11-11,Product_090,SKU_515,Toys & Games,2,752.43
5,CUST415,WH002,59,Male,2023-11-11,Product_010,SKU_516,Books & Media,3,322.46
5,CUST415,WH002,59,Male,2023-11-11,Product_173,SKU_491,Fashion & Apparel,3,273.1
5,CUST415,WH002,59,Male,2023-11-11,Product_162,SKU_391,Health & Wellness,3,446.36
6,CUST160,WH001,36,Female,2023-11-07,Product_032,SKU_320,Electronics,1,729.8
7,CUST162,WH003,35,Male,2023-08-26,Product_040,SKU_534,Health & Wellness,2,361.34
7,CUST162,WH003,35,Male,2023-08-26,Product_171,SKU_636,Toys & Games,5,795.95
7,CUST162,WH003,35,Male,2023-08-26,Product_104,SKU_926,Fashion & Apparel,5,823.18
9,CUST737,WH005,27,Male,2023-07-02,Product_057,SKU_849,Automotive,1,739.83
9,CUST737,WH005,27,Male,2023-07-02,Product_199,SKU_880,Automotive,3,863.43
9,CUST737,WH005,27,Male,2023-07-02,Product_158,SKU_791,Groceries & Gourmet Food,3,758.37
9,CUST737,WH005,27,Male,2023-07-02,Product_179,SKU_971,Home Appliances,1,716.03
9,CUST737,WH005,27,Male,2023-07-02,Product_168,SKU_751,Groceries & Gourmet Food,2,525.22
10,CUST948,WH003,51,Female,2023-09-01,Product_093,SKU_613,Books & Media,3,435.42
10,CUST948,WH003,51,Female,2023-09-01,Product_116,SKU_904,Home Appliances,4,877.98
10,CUST948,WH003,51,Female,2023-09-01,Product_159,SKU_199,Electronics,5,59.92
10,CUST948,WH003,51,Female,2023-09-01,Product_067,SKU_747,Home Appliances,3,136.16
10,CUST948,WH003,51,Female,2023-09-01,Product_081,SKU_331,Books & Media,5,292.26
12,CUST116,WH001,33,Female,2023-07-14,Product_199,SKU_422,Automotive,5,286.43
13,CUST298,WH005,64,Female,2023-11-17,Product_034,SKU_681,Automotive,4,234.47
14,CUST622,WH004,35,Female,2023-06-02,Product_144,SKU_466,Fashion & Apparel,5,675.02
14,CUST622,WH004,35,Female,2023-06-02,Product_006,SKU_772,Automotive,2,291.33
14,CUST622,WH004,35,Female,2023-06-02,Product_016,SKU_743,Home Appliances,5,180.52
14,CUST622,WH004,35,Female,2023-06-02,Product_130,SKU_888,Fashion & Apparel,1,343.44
15,CUST148,WH001,63,Female,2023-12-02,Product_067,SKU_747,Home Appliances,1,734.42
16,CUST409,WH004,37,Female,2023-09-04,Product_060,SKU_686,Books & Media,3,792.04
17,CUST426,WH005,59,Female,2023-04-07,Product_008,SKU_058,Fashion & Apparel,4,481.18
17,CUST426,WH005,59,Female,2023-04-07,Product_006,SKU_745,Automotive,2,601.9
19,CUST377,WH003,38,Male,2023-03-23,Product_113,SKU_430,Home Appliances,3,697.39
19,CUST377,WH003,38,Male,2023-03-23,Product_041,SKU_128,Automotive,4,618.87
22,CUST625,WH004,58,Female,2023-10-01,Product_065,SKU_955,Toys & Games,5,453.61
22,CUST625,WH004,58,Female,2023-10-01,Product_196,SKU_349,Books & Media,3,355.5
23,CUST429,WH001,37,Male,2023-02-15,Product_042,SKU_138,Books & Media,4,851.41
23,CUST429,WH001,37,Male,2023-02-15,Product_130,SKU_547,Fashion & Apparel,2,170.3
23,CUST429,WH001,37,Male,2023-02-15,Product_115,SKU_044,Health & Wellness,5,657.98
23,CUST429,WH001,37,Male,2023-02-15,Product_109,SKU_451,Fashion & Apparel,1,851.36
23,CUST429,WH001,37,Male,2023-02-15,Product_129,SKU_644,Fashion & Apparel,2,473.99
23,CUST429,WH001,37,Male,2023-02-15,Product_124,SKU_711,Toys & Games,3,842.57
23,CUST429,WH001,37,Male,2023-02-15,Product_116,SKU_866,Home Appliances,3,688.25
24,CUST442,WH003,27,Male,2023-08-26,Product_053,SKU_558,Automotive,3,180.62
24,CUST442,WH003,27,Male,2023-08-26,Product_008,SKU_414,Fashion & Apparel,1,441.18
24,CUST442,WH003,27,Male,2023-08-26,Product_172,SKU_794,Groceries & Gourmet Food,4,578.91
24,CUST442,WH003,27,Male,2023-08-26,Product_160,SKU_436,Health & Wellness,4,644.1
24,CUST442,WH003,27,Male,2023-08-26,Product_012,SKU_517,Home Appliances,1,77.26
24,CUST442,WH003,27,Male,2023-08-26,Product_114,SKU_962,Home Appliances,2,966.07
24,CUST442,WH003,27,Male,2023-08-26,Product_072,SKU_777,Electronics,5,268.34
25,CUST453,WH003,37,Male,2023-10-09,Product_071,SKU_894,Beauty & Personal Care,5,42.13
25,CUST453,WH003,37,Male,2023-10-09,Product_119,SKU_303,Home Appliances,1,581.17
25,CUST453,WH003,37,Male,2023-10-09,Product_052,SKU_641,Health & Wellness,4,585.54
